DateUnix;DateLong;Close;Deflator
33236;1990-12-29;371.200012;20.77842119
33237;1990-12-30;371.200012;20.77842119
33238;1990-12-31;373.799988;20.63389632
33239;1991-01-01;373.799988;20.63389632
33240;1991-01-02;372.200012;20.72259523
33241;1991-01-03;367.5;20.98761958
33242;1991-01-04;367.200012;21.00476564
33243;1991-01-05;367.200012;21.00476564
33244;1991-01-06;367.200012;21.00476564
33245;1991-01-07;360.200012;21.41296485
33246;1991-01-08;359;21.48454093
33247;1991-01-09;357.5;21.57468586
33248;1991-01-10;361.899994;21.31238
33249;1991-01-11;361.799988;21.31827101
33250;1991-01-12;361.799988;21.31827101
33251;1991-01-13;361.799988;21.31827101
33252;1991-01-14;355.799988;21.67776969
33253;1991-01-15;357.299988;21.5867631
33254;1991-01-16;365.200012;21.11979721
33255;1991-01-17;375.799988;20.52408313
33256;1991-01-18;377;20.45875383
33257;1991-01-19;377;20.45875383
33258;1991-01-20;377;20.45875383
33259;1991-01-21;379.700012;20.31327351
33260;1991-01-22;379;20.35079207
33261;1991-01-23;383.899994;20.09104016
33262;1991-01-24;391.299988;19.71109234
33263;1991-01-25;394.299988;19.56112206
33264;1991-01-26;394.299988;19.56112206
33265;1991-01-27;394.299988;19.56112206
33266;1991-01-28;396.799988;19.4378791
33267;1991-01-29;400.600006;19.25349496
33268;1991-01-30;408.5;18.88115103
33269;1991-01-31;414.200012;18.62131814
33270;1991-02-01;417.700012;18.46528603
33271;1991-02-02;417.700012;18.46528603
33272;1991-02-03;417.700012;18.46528603
33273;1991-02-04;424.799988;18.15666293
33274;1991-02-05;432.200012;17.84578894
33275;1991-02-06;439.200012;17.56136153
33276;1991-02-07;435;17.73091999
33277;1991-02-08;436.799988;17.6578535
33278;1991-02-09;436.799988;17.6578535
33279;1991-02-10;436.799988;17.6578535
33280;1991-02-11;444.100006;17.36759759
33281;1991-02-12;444;17.37150945
33282;1991-02-13;448;17.21640669
33283;1991-02-14;444.299988;17.35978034
33284;1991-02-15;448.700012;17.18954756
33285;1991-02-16;448.700012;17.18954756
33286;1991-02-17;448.700012;17.18954756
33287;1991-02-18;448.700012;17.18954756
33288;1991-02-19;450.299988;17.1284708
33289;1991-02-20;446;17.2936103
33290;1991-02-21;446.399994;17.27811447
33291;1991-02-22;449;17.1780628
33292;1991-02-23;449;17.1780628
33293;1991-02-24;449;17.1780628
33294;1991-02-25;451.100006;17.09809375
33295;1991-02-26;447.700012;17.22794279
33296;1991-02-27;450.799988;17.10947294
33297;1991-02-28;453.100006;17.02262214
33298;1991-03-01;456.700012;16.88843878
33299;1991-03-02;456.700012;16.88843878
33300;1991-03-03;456.700012;16.88843878
33301;1991-03-04;461.100006;16.72728279
33302;1991-03-05;473.100006;16.30300169
33303;1991-03-06;473.799988;16.27891598
33304;1991-03-07;475.73999;16.21253281
33305;1991-03-08;475.109985;16.23403094
33306;1991-03-09;475.109985;16.23403094
33307;1991-03-10;475.109985;16.23403094
33308;1991-03-11;467.149994;16.51065031
33309;1991-03-12;461.399994;16.71640723
33310;1991-03-13;468.179993;16.47432678
33311;1991-03-14;467.790009;16.48806098
33312;1991-03-15;466.290009;16.54110113
33313;1991-03-16;466.290009;16.54110113
33314;1991-03-17;466.290009;16.54110113
33315;1991-03-18;466.269989;16.54181135
33316;1991-03-19;462.809998;16.66547877
33317;1991-03-20;466.089996;16.54819941
33318;1991-03-21;464.600006;16.60127011
33319;1991-03-22;464.149994;16.61736571
33320;1991-03-23;464.149994;16.61736571
33321;1991-03-24;464.149994;16.61736571
